request_id,arrival_time_ms,prompt_tokens,output_tokens,tenant_id,priority_class,ttft_slo_ms,itl_slo_ms,prefix_id,abandoned_at_ms,request_type
burstgpt-000000,0,472,18,model-chatgpt,interactive,950,145,,,
burstgpt-000001,2000,1087,230,model-chatgpt,interactive,950,145,,,
burstgpt-000002,5650,417,276,model-gpt-4,interactive,950,145,,,
burstgpt-000003,9000,1360,647,model-chatgpt,interactive,950,145,,,
burstgpt-000004,10450,185,215,model-chatgpt,interactive,950,145,,,
burstgpt-000005,11400,586,293,model-gpt-4,interactive,950,145,,,
burstgpt-000006,12800,37,1656,model-chatgpt,interactive,950,145,,,
burstgpt-000007,13100,54,503,model-chatgpt,interactive,950,145,,,
burstgpt-000008,20250,1528,414,model-chatgpt,interactive,950,145,,,
burstgpt-000009,26500,89,370,model-chatgpt,interactive,950,145,,,
burstgpt-000010,27750,549,362,model-gpt-4,interactive,950,145,,,
burstgpt-000011,31650,172,69,model-chatgpt,interactive,950,145,,,
burstgpt-000012,34050,969,206,model-gpt-4,interactive,950,145,,,
burstgpt-000013,36800,97,137,model-chatgpt,interactive,950,145,,,
burstgpt-000014,38300,1574,501,model-gpt-4,interactive,950,145,,,
burstgpt-000015,40800,253,239,model-chatgpt,interactive,950,145,,,
burstgpt-000016,48050,23,344,model-chatgpt,interactive,950,145,,,
burstgpt-000017,48450,509,207,model-chatgpt,interactive,950,145,,,
burstgpt-000018,51150,387,349,model-chatgpt,interactive,950,145,,,
burstgpt-000019,53350,733,180,model-chatgpt,interactive,950,145,,,
burstgpt-000020,56200,1305,477,model-chatgpt,interactive,950,145,,,
burstgpt-000021,63650,17,382,model-chatgpt,interactive,950,145,,,
burstgpt-000022,72200,601,557,model-chatgpt,interactive,950,145,,,
burstgpt-000023,80300,1327,239,model-gpt-4,interactive,950,145,,,
burstgpt-000024,88750,1437,181,model-chatgpt,interactive,950,145,,,
burstgpt-000025,103200,1336,245,model-chatgpt,interactive,950,145,,,
burstgpt-000026,108400,19,440,model-chatgpt,interactive,950,145,,,
burstgpt-000027,113400,92,95,model-gpt-4,interactive,950,145,,,
burstgpt-000028,114400,507,448,model-chatgpt,interactive,950,145,,,
