request_id,arrival_time_ms,prompt_tokens,output_tokens,tenant_id,priority_class,ttft_slo_ms,itl_slo_ms,prefix_id,abandoned_at_ms,request_type
burstgpt-000000,0,472,18,model-chatgpt,interactive,950,145,,,
burstgpt-000001,400,1087,230,model-chatgpt,interactive,950,145,,,
burstgpt-000002,1130,417,276,model-gpt-4,interactive,950,145,,,
burstgpt-000003,1800,1360,647,model-chatgpt,interactive,950,145,,,
burstgpt-000004,2090,185,215,model-chatgpt,interactive,950,145,,,
burstgpt-000005,2280,586,293,model-gpt-4,interactive,950,145,,,
burstgpt-000006,2560,37,1656,model-chatgpt,interactive,950,145,,,
burstgpt-000007,2620,54,503,model-chatgpt,interactive,950,145,,,
burstgpt-000008,4050,1528,414,model-chatgpt,interactive,950,145,,,
burstgpt-000009,5300,89,370,model-chatgpt,interactive,950,145,,,
burstgpt-000010,5550,549,362,model-gpt-4,interactive,950,145,,,
burstgpt-000011,6330,172,69,model-chatgpt,interactive,950,145,,,
burstgpt-000012,6810,969,206,model-gpt-4,interactive,950,145,,,
burstgpt-000013,7360,97,137,model-chatgpt,interactive,950,145,,,
burstgpt-000014,7660,1574,501,model-gpt-4,interactive,950,145,,,
burstgpt-000015,8160,253,239,model-chatgpt,interactive,950,145,,,
burstgpt-000016,9610,23,344,model-chatgpt,interactive,950,145,,,
burstgpt-000017,9690,509,207,model-chatgpt,interactive,950,145,,,
burstgpt-000018,10230,387,349,model-chatgpt,interactive,950,145,,,
burstgpt-000019,10670,733,180,model-chatgpt,interactive,950,145,,,
burstgpt-000020,11240,1305,477,model-chatgpt,interactive,950,145,,,
burstgpt-000021,12730,17,382,model-chatgpt,interactive,950,145,,,
burstgpt-000022,14440,601,557,model-chatgpt,interactive,950,145,,,
burstgpt-000023,16060,1327,239,model-gpt-4,interactive,950,145,,,
burstgpt-000024,17750,1437,181,model-chatgpt,interactive,950,145,,,
burstgpt-000025,20640,1336,245,model-chatgpt,interactive,950,145,,,
burstgpt-000026,21680,19,440,model-chatgpt,interactive,950,145,,,
burstgpt-000027,22680,92,95,model-gpt-4,interactive,950,145,,,
burstgpt-000028,22880,507,448,model-chatgpt,interactive,950,145,,,
burstgpt-000029,25740,938,263,model-chatgpt,interactive,950,145,,,
burstgpt-000030,25790,1544,608,model-chatgpt,interactive,950,145,,,
burstgpt-000031,26030,1840,378,model-gpt-4,interactive,950,145,,,
burstgpt-000032,26790,991,462,model-chatgpt,interactive,950,145,,,
burstgpt-000033,28210,1109,329,model-chatgpt,interactive,950,145,,,
burstgpt-000034,30040,1476,443,model-chatgpt,interactive,950,145,,,
burstgpt-000035,30860,14,11,model-chatgpt,interactive,950,145,,,
burstgpt-000036,32270,1741,428,model-gpt-4,interactive,950,145,,,
burstgpt-000037,45690,1306,267,model-chatgpt,interactive,950,145,,,
burstgpt-000038,47930,614,323,model-gpt-4,interactive,950,145,,,
burstgpt-000039,58070,1960,136,model-chatgpt,interactive,950,145,,,
burstgpt-000040,60440,1698,627,model-chatgpt,interactive,950,145,,,
burstgpt-000041,62580,1907,616,model-chatgpt,interactive,950,145,,,
burstgpt-000042,64940,137,225,model-chatgpt,interactive,950,145,,,
burstgpt-000043,68770,20,86,model-gpt-4,interactive,950,145,,,
burstgpt-000044,69930,127,268,model-gpt-4,interactive,950,145,,,
burstgpt-000045,74370,665,167,model-gpt-4,interactive,950,145,,,
burstgpt-000046,79770,855,297,model-gpt-4,interactive,950,145,,,
burstgpt-000047,80470,1191,30,model-gpt-4,interactive,950,145,,,
burstgpt-000048,81210,18,67,model-gpt-4,interactive,950,145,,,
burstgpt-000049,82030,101,148,model-gpt-4,interactive,950,145,,,
burstgpt-000050,82060,112,336,model-chatgpt,interactive,950,145,,,
burstgpt-000051,82530,264,76,model-gpt-4,interactive,950,145,,,
burstgpt-000052,86760,82,343,model-chatgpt,interactive,950,145,,,
burstgpt-000053,87770,506,343,model-chatgpt,interactive,950,145,,,
burstgpt-000054,89840,530,339,model-chatgpt,interactive,950,145,,,
burstgpt-000055,90100,942,396,model-chatgpt,interactive,950,145,,,
burstgpt-000056,94130,1364,416,model-chatgpt,interactive,950,145,,,
burstgpt-000057,102000,122,496,model-chatgpt,interactive,950,145,,,
burstgpt-000058,104090,24,63,model-chatgpt,interactive,950,145,,,
burstgpt-000059,104380,698,258,model-chatgpt,interactive,950,145,,,
burstgpt-000060,105720,103,76,model-chatgpt,interactive,950,145,,,
burstgpt-000061,105950,1073,129,model-chatgpt,interactive,950,145,,,
