policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_lite,800,778,22,0.27375,486.4102580350162,1728.7592524431566,12665.5,30162.999999999993,34534.43,25.0,325.0,1625.0,73765,319145.80102065974,3029.454000000027,117225
ablate_no_shape_classifier,800,778,22,0.2875,489.7310918879785,1662.7853863967032,12761.5,28878.499999999996,31634.83,25.0,175.0,900.0,71822,293697.39622336,2925.7560000000326,122100
ablate_lru_kv,800,778,22,0.2825,481.92232650017655,1690.440116396109,12971.5,31115.25,34860.420000000006,25.0,400.0,1625.0,72811,397248.10223296,3030.3990000000404,119950
ablate_no_slo_notary,800,778,22,0.2,337.8237017425566,1731.094581685034,12959.0,30350.949999999997,33135.2,25.0,250.0,1625.0,76518,348873.66361265973,3042.225000000022,117050
ablate_exact_output_oracle,800,778,22,0.2775,482.7536172921405,1721.531678345033,12743.0,31188.1,34934.43,25.0,628.7499999999994,1625.0,73157,308036.78535665973,3034.323000000032,117725
ablate_noisy_forecasts,800,778,22,0.2825,473.52823623714914,1714.2155877823527,12400.0,31237.15,35459.43,25.0,400.0,1625.0,72563,342543.78535665973,3024.7110000000307,118250
ablate_no_online_reclass,800,778,22,0.2825,493.6145400890873,1724.6726109858898,12590.0,31086.05,34837.07000000001,25.0,500.0,1625.0,70674,298131.9111646597,3039.3990000000244,117500
ablate_policy_tick_1ms,800,778,22,0.2775,465.89107406720956,1675.6264710374426,12620.5,31053.799999999996,35120.21000000001,25.0,450.0,1625.0,76739,330907.89902065974,6042.6270000001505,118025
ablate_policy_tick_100ms,800,778,22,0.26875,460.48530484440977,1744.2696373997264,12590.5,30535.75,33218.76,25.0,375.0,1625.0,68915,343869.54686208,1510.128000000006,117675
ablate_no_fallback_lane,800,778,22,0.28125,495.33898636420486,1727.5330439068077,12594.0,30852.399999999998,34420.21,25.0,300.0,1625.0,69970,316422.64561265975,3014.811000000024,117325
