policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_value_preserved,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_v02_kv_low,800,675,125,0.02875,24.425005457576002,857.409174014239,36882.0,64656.3,66975.16,25.0,25.0,25.0,546173,22186957.441165157,2039570.1399925167,4895.955000000015,118625
yieldos_v02_lru_kv_kv_low,800,675,125,0.0275,20.90767641107339,858.5847977293371,37005.0,63983.100000000006,66509.12,25.0,25.0,25.0,566919,24181820.113041546,2068668.8978384607,4901.823000000011,118450
distserve_disaggregated_kv_low,800,670,130,0.01375,20.100933099118407,896.6004592999305,37805.5,77029.15,81110.41999999995,25.0,25.0,25.0,556596,3951660.8836283796,1690697.7615452188,5132.736000000005,112225
yieldos_v02_kv_medium,800,675,125,0.0275,21.687603908187647,829.2024385228655,37565.0,69229.0,71767.78,25.0,25.0,25.0,398144,20489148.186431956,4126670.6611968,5047.731000000028,122675
yieldos_v02_lru_kv_kv_medium,800,676,124,0.02875,22.018265349967084,830.3315098239544,36774.0,69229.5,71986.25,25.0,25.0,25.0,401952,16857202.557382837,4375880.85910158,5021.316000000006,122600
distserve_disaggregated_kv_medium,800,670,130,0.01375,19.052790711684572,849.8481547501423,38655.5,83306.8,87853.12,25.0,25.0,25.0,369906,2532181.4033101113,3981241.129395399,5363.882999999988,118450
yieldos_v02_kv_high,800,675,125,0.02875,21.220487182663373,799.7933653172643,38430.0,74696.5,77639.72,25.0,25.0,25.0,245922,12580836.652401358,5409398.246913485,5269.2030000000295,127150
yieldos_v02_lru_kv_kv_high,800,676,124,0.02875,20.921578248515605,788.974307415908,38552.0,75992.0,78824.0,25.0,25.0,25.0,218561,9657422.711047705,5455775.360816,5336.0910000000285,128975
distserve_disaggregated_kv_high,800,670,130,0.01375,18.059375628972877,805.5369571036086,41130.5,89662.1,93852.91,25.0,25.0,25.0,178109,1173591.081867876,5489282.54048,5674.670999999995,124950
yieldos_v02_kv_extreme,800,675,125,0.02875,20.413717178148087,769.38646224317,40174.0,79421.9,82696.22,25.0,25.0,25.0,123970,7026376.47854574,6445198.342464,5527.5390000000325,132125
yieldos_v02_lru_kv_kv_extreme,800,675,125,0.0275,19.897133400596655,760.7457054838954,40180.0,81071.89999999998,84187.6,25.0,25.0,25.0,80588,2456331.7058085604,6525335.702304,5591.034000000031,133625
distserve_disaggregated_kv_extreme,800,670,130,0.01375,17.63345740963524,786.538910137367,42218.0,92662.1,96500.46999999999,25.0,25.0,25.0,82756,577057.6620364606,6758530.800592001,5829.777000000002,127950
