policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_value_preserved,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_v02_load_0.50,800,783,17,0.5075,845.9840556036542,1593.3423203471204,2939.0,7177.699999999999,9100.079999999998,25.0,250.0,788.4999999999962,89183,939623.5439291523,210570.22999999998,1588.293000000033,126725
yieldos_v02_lru_kv_load_0.50,800,783,17,0.5125,863.1475495571227,1595.0028657812422,2870.0,7279.999999999999,8995.579999999998,25.0,275.0,858.9999999999975,76996,825956.6952780001,216610.43600000005,1579.7070000000326,126600
yieldos_v02_no_slo_notary_load_0.50,800,782,18,0.50875,854.4740400645644,1591.5064895593052,2791.0,7541.75,8409.469999999994,25.0,250.0,789.2499999999956,87601,1012474.1134692003,201737.105152,1595.196000000032,126775
distserve_disaggregated_load_0.50,800,782,18,0.45625,689.4922163419649,1608.7205844261948,2871.0,10116.049999999997,11590.46,25.0,350.0,859.499999999997,79912,244672.03674576012,199471.738,1442.2770000000335,125425
yieldos_v02_load_0.70,800,779,21,0.32,586.6440009658786,1617.5890535011058,9674.0,20703.399999999998,21720.260000000002,25.0,250.0,900.0,66970,666610.377839424,212039.65106959362,2440.6650000000313,123600
yieldos_v02_lru_kv_load_0.70,800,779,21,0.32,586.3116974000773,1616.6727727420855,9815.0,20556.1,21348.460000000006,25.0,250.0,900.0,77163,710878.286703755,247693.76571968,2437.101000000035,123675
yieldos_v02_no_slo_notary_load_0.70,800,779,21,0.32,587.1519239953791,1619.6248047411227,9551.0,20764.399999999998,21487.940000000002,25.0,250.0,900.0,74323,723581.9339034242,210429.20214991362,2432.241000000029,123450
distserve_disaggregated_load_0.70,800,780,20,0.265,427.75406056762307,1633.5733805718764,9662.5,22362.75,24759.840000000004,25.0,375.0,965.7500000000027,91338,252932.91460384897,237858.5228,2290.428000000035,122550
yieldos_v02_load_0.90,800,779,21,0.2875,525.4294886134609,1624.3459438588268,13462.0,29049.8,29897.86,25.0,250.0,805.5000000000007,77931,691265.799153157,194812.5439417467,2991.3660000000345,122525
yieldos_v02_lru_kv_load_0.90,800,779,21,0.28625,517.4869050686632,1628.3590075966415,13697.0,28874.3,29652.54,25.0,250.0,822.0000000000027,79660,662244.2419868435,274696.8288537467,2982.0330000000404,122225
yieldos_v02_no_slo_notary_load_0.90,800,779,21,0.27,485.12801738839016,1621.4037317002683,13084.0,29323.0,30010.280000000002,25.0,225.0,791.500000000002,74464,716158.6467083041,196907.2164539136,2994.129000000042,122750
distserve_disaggregated_load_0.90,800,779,21,0.2425,399.6664272399845,1639.7309638697332,12846.0,30770.099999999984,32638.64,25.0,252.49999999999773,1885.0000000000136,75967,211951.21314684092,229136.2869019136,2838.690000000031,121500
yieldos_v02_load_1.10,800,779,21,0.245,459.27445122169576,1629.4185126069183,16263.0,34340.799999999996,35608.34,25.0,252.49999999999773,861.0000000000014,70573,688231.0092143147,201359.6187417467,3350.619000000039,121775
yieldos_v02_lru_kv_load_1.10,800,779,21,0.24125,448.8205423124735,1627.7648677912289,16485.0,34251.5,35534.34,25.0,250.0,900.0,69527,657009.2153855147,288670.1108208763,3352.7340000000268,121900
yieldos_v02_no_slo_notary_load_1.10,800,779,21,0.245,457.4572799894245,1629.0947784109246,15793.0,34551.4,35422.42,25.0,275.0,850.0,71616,714259.9901783147,198397.7251417467,3350.4840000000236,121800
distserve_disaggregated_load_1.10,800,779,21,0.21125,344.1561955933095,1641.5312544146714,15268.0,35861.299999999996,37755.619999999995,25.0,375.0,2296.000000000015,82171,228103.40714516165,246251.96862654667,3202.326000000031,121000
yieldos_v02_load_1.30,800,779,21,0.23125,422.9540333182929,1627.8309023483255,17914.0,38437.7,39975.3,25.0,225.0,855.5000000000007,69515,706786.088664133,235949.3087417467,3622.6530000000334,121625
yieldos_v02_lru_kv_load_1.30,800,779,21,0.2325,423.1231130912488,1631.7467379751454,18006.0,38425.3,40103.46,25.0,250.0,880.5000000000007,67083,714825.7108119265,320381.5992208763,3622.086000000025,121325
yieldos_v02_no_slo_notary_load_1.30,800,779,21,0.2325,426.5161855034868,1632.204758766858,17644.0,38397.2,39624.18000000001,25.0,250.0,900.0,67663,716433.6020029419,200507.8087417467,3612.0240000000254,121300
distserve_disaggregated_load_1.30,800,778,22,0.20375,325.0286648710282,1644.302042688028,17020.0,39341.9,41491.380000000005,25.0,328.74999999999943,2088.250000000005,68136,222454.63207912832,246948.4874208,3464.4510000000273,120500
yieldos_v02_load_1.50,800,779,21,0.22125,388.56555445298676,1635.5917576386128,19392.0,41104.49999999999,43053.62000000001,25.0,250.0,900.0,62410,669365.6893457336,233432.4905497467,3803.3550000000378,120850
yieldos_v02_lru_kv_load_1.50,800,779,21,0.22,389.59426507992504,1636.9478598842898,19659.0,40818.0,42561.86,25.0,252.49999999999773,850.0,60641,632416.2330425336,260893.6367408763,3800.088000000028,120750
yieldos_v02_no_slo_notary_load_1.50,800,779,21,0.21375,395.7422677393485,1628.1196406407541,19016.0,41312.899999999994,42672.18,25.0,275.0,791.500000000002,59054,634199.7013457336,236935.9020217467,3825.441000000028,121400
distserve_disaggregated_load_1.50,800,777,23,0.1675,272.6352062235415,1644.7553898993021,18520.0,42245.4,44171.68,25.0,404.9999999999983,1912.0000000000005,56234,180220.1845051887,245833.5998208,3654.8190000000236,120225
