policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_value_preserved,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_v02_slo_loose,800,787,13,0.33375,428.06823431043847,1297.063032701983,14221.0,36781.399999999994,40010.86,25.0,300.0,1275.0,79625,903901.0242461915,424411.4575766086,3566.8350000000582,175150
yieldos_v02_lru_kv_slo_loose,800,787,13,0.33625,429.40684081087204,1295.8511670769108,13876.0,36898.7,40118.42,25.0,300.0,1275.0,72048,717737.0544901597,446935.495552,3558.969000000067,175325
yieldos_v02_no_slo_notary_slo_loose,800,787,13,0.31625,402.0065943461179,1293.9894275659651,14120.0,37442.19999999999,40440.68,25.0,300.0,875.0,81884,952193.1644939415,502260.96025216,3566.3400000000597,175575
distserve_disaggregated_slo_loose,800,787,13,0.29,355.47174822180887,1261.1086553421005,14545.0,39189.5,41630.28,25.0,217.4999999999983,831.9999999999993,84994,250088.17827612188,448890.04089664,3362.0760000000405,180450
yieldos_v02_slo_normal,800,787,13,0.26375,335.63658587389585,1299.8999225046393,14221.0,36621.4,40320.88,25.0,225.0,400.0,78255,878205.1992729448,482995.32071424,3551.805000000057,174775
yieldos_v02_lru_kv_slo_normal,800,787,13,0.265,337.8478274303006,1301.3757512277652,14120.0,36633.59999999999,39971.42,25.0,225.0,381.9999999999993,77604,739298.8676380476,440930.7206427824,3549.5730000000617,174575
yieldos_v02_no_slo_notary_slo_normal,800,787,13,0.235,306.592050092357,1296.404358836194,14531.0,37031.799999999996,40256.88,25.0,225.0,550.0,82859,963480.5650165485,476689.2476246086,3557.637000000057,175250
distserve_disaggregated_slo_normal,800,787,13,0.23625,300.46992124717633,1261.1086553421005,14545.0,39189.5,41630.28,25.0,217.4999999999983,831.9999999999993,84994,250088.17827612188,448890.04089664,3362.0760000000405,180450
yieldos_v02_slo_tight,800,787,13,0.21,291.5849591603715,1298.8611354577959,14376.0,36663.1,40011.06,25.0,200.0,300.0,84691,1034285.9733713826,455177.83122624,3544.4250000000548,174925
yieldos_v02_lru_kv_slo_tight,800,787,13,0.2125,293.7543736505553,1298.5186897943224,14456.0,36498.899999999994,39514.560000000005,25.0,225.0,325.0,76158,824801.1792550148,441991.5760330416,3541.49100000005,174975
yieldos_v02_no_slo_notary_slo_tight,800,787,13,0.19125,267.2277127510347,1299.487180550863,14701.0,36776.399999999994,39736.06,25.0,200.0,331.9999999999993,80865,916755.4435415453,468002.91365660855,3533.4450000000493,174850
distserve_disaggregated_slo_tight,800,787,13,0.2,262.3059433809996,1261.1086553421005,14545.0,39189.5,41630.28,25.0,217.4999999999983,831.9999999999993,84994,250088.17827612188,448890.04089664,3362.0760000000405,180450
yieldos_v02_slo_impossible,800,787,13,0.16875,246.81157524033407,1299.4310754669905,14395.0,36341.09999999999,39267.64,25.0,200.0,275.0,79204,992214.3570409892,448501.632192,3516.1470000000363,174875
yieldos_v02_lru_kv_slo_impossible,800,787,13,0.1625,250.92957094002745,1301.7171545461551,14701.0,36423.1,39214.14,25.0,175.0,325.0,80694,865827.0849113329,531940.433340671,3527.8560000000325,174550
yieldos_v02_no_slo_notary_slo_impossible,800,787,13,0.135,221.86503923263646,1299.2918462319622,14726.0,36895.399999999994,39460.64,25.0,175.0,328.49999999999966,80187,1033160.5947064456,425914.8752278778,3535.263000000041,174875
distserve_disaggregated_slo_impossible,800,787,13,0.16375,229.65846922919252,1261.1086553421005,14545.0,39189.5,41630.28,25.0,217.4999999999983,831.9999999999993,84994,250088.17827612188,448890.04089664,3362.0760000000405,180450
