policy,requests,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_v02_load_0.60,600,586,14,0.49166666666666664,902.4611186903136,1573.0204638472028,1866.0,13449.0,14790.049999999997,25.0,312.5,900.0,59177,172002.4400233421,1378.125000000022,101700
yieldos_v02_lru_kv_load_0.60,600,586,14,0.49666666666666665,906.6076160881255,1573.3641436246323,1921.0,13441.75,14925.049999999997,25.0,337.5,793.7499999999972,59933,230258.30312,1380.6090000000202,101675
yieldos_v02_no_slo_notary_load_0.60,600,586,14,0.44166666666666665,819.796224295495,1570.6424240782778,2787.5,13353.5,14155.449999999997,25.0,356.25,775.0,59133,183274.659704576,1384.1910000000285,101850
distserve_disaggregated_load_0.60,600,586,14,0.3983333333333333,653.4595048233348,1480.5682745277938,3862.5,16632.5,17859.149999999998,25.0,418.75,953.7499999999994,74236,202058.669488,1362.024000000033,108100
yieldos_v02_load_0.80,600,584,16,0.3566666666666667,686.785828400575,1566.031024148362,6344.5,20977.750000000004,22629.86999999999,25.0,275.0,858.499999999998,49521,172550.6425833421,1779.6240000000155,101650
yieldos_v02_lru_kv_load_0.80,600,584,16,0.3616666666666667,700.3626806953187,1567.8545048365474,6416.0,21213.4,22800.119999999995,25.0,300.0,850.0,51139,217718.2569833421,1784.3310000000151,101525
yieldos_v02_no_slo_notary_load_0.80,600,584,16,0.3516666666666667,666.4229599747006,1570.6310933117327,6348.0,21082.4,22089.169999999987,25.0,321.25000000000057,775.0,53340,158570.47898334207,1776.6990000000185,101350
distserve_disaggregated_load_0.80,600,584,16,0.29833333333333334,544.4447394173632,1482.7637660555536,7479.0,24386.600000000006,24847.89,25.0,325.0,2037.7499999999968,62896,214159.9308,1737.9000000000344,107500
yieldos_v02_load_1.00,600,583,17,0.30666666666666664,604.3871487536766,1565.1024093895085,9042.0,25854.6,28543.37999999998,25.0,297.49999999999943,858.9999999999975,50164,179199.2197833421,2030.211000000016,101425
yieldos_v02_lru_kv_load_1.00,600,583,17,0.31,607.1431620410734,1565.4793463281133,9027.0,26169.9,28736.499999999993,25.0,272.49999999999943,858.9999999999975,51060,240392.41978334208,2030.3010000000131,101400
yieldos_v02_no_slo_notary_load_1.00,600,583,17,0.28833333333333333,549.7056308826546,1562.983762819072,8839.0,25628.8,26831.579999999994,25.0,300.0,854.4999999999987,49203,149444.2197833421,2020.44600000002,101575
distserve_disaggregated_load_1.00,600,583,17,0.2683333333333333,496.7477282813606,1480.468969939836,9643.0,28806.7,29275.37999999999,25.0,447.49999999999943,3928.999999999985,58845,219922.1773833421,1969.3980000000333,107400
yieldos_v02_load_1.20,600,583,17,0.28,566.2927963952984,1560.838133774792,10695.0,28799.7,31835.119999999995,25.0,275.0,858.9999999999975,48024,168572.2197833421,2187.8550000000287,101550
yieldos_v02_lru_kv_load_1.20,600,583,17,0.275,558.0273503024523,1565.7217804511067,10613.0,29066.7,31606.159999999996,25.0,294.99999999999886,858.9999999999975,48024,241303.16978334208,2189.286000000029,101225
yieldos_v02_no_slo_notary_load_1.20,600,583,17,0.23166666666666666,416.81945197519474,1559.8985814477785,10488.0,29452.0,30662.019999999997,25.0,347.49999999999943,858.9999999999975,42023,151493.3505193421,2200.3380000000284,101600
distserve_disaggregated_load_1.20,600,583,17,0.24166666666666667,420.91887319122446,1477.5368463020939,11285.0,31980.9,32383.62,25.0,347.49999999999943,1980.9999999998524,50438,215290.94978334208,2136.438000000037,107450
yieldos_v02_load_1.50,600,583,17,0.24333333333333335,472.99691308952686,1561.4645688637663,11843.0,31872.0,34988.06,25.0,275.0,850.0,40301,174873.79978334208,2346.2370000000324,101350
yieldos_v02_lru_kv_load_1.50,600,583,17,0.24,461.50378459500877,1559.939247939683,11958.0,32083.199999999997,35418.54,25.0,317.4999999999983,850.0,40301,271797.49978334206,2347.632000000024,101450
yieldos_v02_no_slo_notary_load_1.50,600,583,17,0.205,372.933251242016,1558.2722039329242,12037.0,32505.899999999998,33821.54,25.0,347.49999999999943,900.0,47462,169507.71420676098,2358.675000000031,101550
distserve_disaggregated_load_1.50,600,583,17,0.225,400.34724967280755,1473.2261987800653,13018.0,34886.899999999994,35677.42,25.0,369.99999999999886,1131.4999999999914,46370,226703.59978334207,2307.087000000037,107600
