policy,requests,obligation_heterogeneity_index,completed,abandoned,slo_attainment,governed_goodput,raw_tokens_per_gpu_second,ttft_p50,ttft_p95,ttft_p99,itl_p50,itl_p95,itl_p99,kv_hit_tokens,kv_value_preserved,kv_recompute_waste,scheduler_overhead_ms,finish_time_ms
yieldos_v02_chat_heavy,800,0.5395053477311307,776,24,0.27,530.6901729620423,1810.7512040254612,4397.0,13465.5,14452.75,75.0,100.0,100.0,80509,541872.1474739457,33766.3080842752,1503.153000000004,63450
yieldos_v02_lru_kv_chat_heavy,800,0.5395053477311307,776,24,0.27,530.4822454502414,1810.0417411193703,4419.0,13447.5,14455.0,75.0,100.0,100.0,81030,544021.3626613378,25659.5,1503.6120000000028,63475
yieldos_v02_no_slo_notary_chat_heavy,800,0.5395053477311307,773,27,0.17125,258.7774740212934,1587.3896268044343,9977.0,23424.8,24168.039999999997,25.0,25.0,25.0,81879,576125.7982300906,34258.8476,2066.5530000000267,71800
distserve_disaggregated_chat_heavy,800,0.5395053477311307,780,20,0.2725,488.4996503996337,1914.4595929074083,3811.5,13948.049999999997,15460.510000000002,25.0,401.24999999999886,2264.2500000000155,69516,369549.1013327193,24274.09,1258.002,60175
yieldos_v02_rag_heavy,800,0.7631534404612602,782,18,0.05,41.0950194621836,977.4542172079168,26816.0,52289.799999999996,55198.95,25.0,25.0,25.0,576514,26494421.216565784,1800852.7574060417,4111.101000000024,95025
yieldos_v02_lru_kv_rag_heavy,800,0.7631534404612602,782,18,0.04875,39.38869383907501,964.0828041677715,26596.0,53223.849999999984,56044.649999999994,25.0,25.0,25.0,556973,23627693.61098302,1996796.278720621,4136.076000000001,96375
yieldos_v02_no_slo_notary_rag_heavy,800,0.7631534404612602,781,19,0.0375,29.7868791521683,973.2659190813439,29379.0,55298.0,57172.8,25.0,25.0,25.0,554594,25139589.490306154,1548046.8599215683,4523.328000000027,94950
distserve_disaggregated_rag_heavy,800,0.7631534404612602,781,19,0.02875,27.834562529795157,958.653623891707,23643.0,60046.0,62579.600000000006,25.0,25.0,25.0,533011,3679354.3869235152,2011027.5508249395,4164.552000000006,96825
yieldos_v02_code_heavy,800,0.666053667455971,774,26,0.14625,286.30158482142184,2034.765927071752,38065.0,83012.6,87426.04,25.0,75.0,100.0,53248,502520.9623259289,241999.06306552322,7498.341000000031,162850
yieldos_v02_lru_kv_code_heavy,800,0.666053667455971,774,26,0.14625,283.57209517502906,2037.466855799374,37366.5,83304.44999999998,87637.95,25.0,75.0,100.0,53267,501668.0323259289,256635.7017055232,7497.522000000091,162625
yieldos_v02_no_slo_notary_code_heavy,800,0.666053667455971,773,27,0.13375,270.5660368115142,2025.8136555079814,37780.0,83508.4,87339.28,25.0,75.0,100.0,54014,502966.42971515853,213792.713289856,7506.207000000034,163550
distserve_disaggregated_code_heavy,800,0.666053667455971,774,26,0.11375,209.77075575040195,2049.1074734372837,39268.5,86039.45,89098.18,25.0,533.7499999999977,4481.75,55890,259846.9920762479,167163.876977792,7231.0860000000675,161925
yieldos_v02_batch_summary_heavy,800,0.7224262897597349,787,13,0.09125,85.85097475069006,1194.4507243687399,36793.0,70097.5,72214.54,25.0,25.0,25.0,483369,15260296.35435594,2252930.8888249826,5733.539999999999,103875
yieldos_v02_lru_kv_batch_summary_heavy,800,0.7224262897597349,787,13,0.08875,86.24930332464177,1191.2576526921353,36743.0,69709.2,72284.3,25.0,25.0,25.0,479336,13716883.198660715,2309895.6327778846,5702.337000000005,104200
yieldos_v02_no_slo_notary_batch_summary_heavy,800,0.7224262897597349,787,13,0.06375,52.262344345288135,1163.8528059829587,39117.0,71070.99999999999,73004.64,25.0,25.0,25.0,484240,16363851.175780766,2429786.0740072657,6040.1699999999855,106450
distserve_disaggregated_batch_summary_heavy,800,0.7224262897597349,787,13,0.0525,51.13293232393064,1171.7881613361888,39299.0,71258.1,73459.14,25.0,25.0,25.0,467760,2635576.3100304343,2579194.177565605,5878.386000000015,105850
yieldos_v02_mixed_enterprise,800,0.710558691227892,787,13,0.11,172.82132522090737,1630.9516045309374,18183.0,32953.399999999994,35526.36,25.0,25.0,25.0,257340,6668863.267672273,1384588.4913140426,3026.5560000000073,76275
yieldos_v02_lru_kv_mixed_enterprise,800,0.710558691227892,787,13,0.11125,174.12553881373262,1627.3484221079366,18364.0,32855.8,35687.6,25.0,25.0,25.0,253340,5937918.069202906,1474895.525690965,3027.1410000000033,76450
yieldos_v02_no_slo_notary_mixed_enterprise,800,0.710558691227892,786,14,0.08,118.7352301174755,1588.2879421591244,20966.0,34488.0,36512.299999999996,25.0,25.0,53.74999999999943,252728,7107066.648878777,1254866.718292522,3299.5980000000077,78100
distserve_disaggregated_mixed_enterprise,800,0.710558691227892,784,16,0.0475,77.90277891721428,1599.806018364942,17769.5,37292.25,39202.71,25.0,25.0,25.0,226803,1445805.4564126085,1281329.0106235524,3116.664000000018,77625
