request_id,arrival_time_ms,prompt_tokens,output_tokens,tenant_id,priority_class,ttft_slo_ms,itl_slo_ms,prefix_id,abandoned_at_ms,request_type
profile-00000,7,119,53,tenant-08,interactive,950,145,,,
profile-00001,24,187,280,tenant-20,interactive,950,145,,,
profile-00002,38,111,23,tenant-05,interactive,950,145,profile-chat-23,,
profile-00003,51,141,37,tenant-02,interactive,950,145,profile-chat-36,,
profile-00004,57,121,65,tenant-03,interactive,950,145,,2562,
profile-00005,67,510,74,tenant-04,standard,2600,280,profile-chat-27,,
profile-00006,136,795,92,tenant-08,standard,2600,280,profile-chat-26,,
profile-00007,140,89,65,tenant-08,interactive,950,145,,,
profile-00008,145,3568,139,tenant-18,standard,2600,280,profile-rag-20,,
profile-00009,148,49,29,tenant-11,interactive,950,145,,,
profile-00010,150,244,41,tenant-13,interactive,950,145,,,
profile-00011,206,1955,55,tenant-17,standard,2600,280,profile-rag-22,,
profile-00012,224,775,143,tenant-19,standard,2600,280,profile-chat-13,,
profile-00013,232,95,25,tenant-16,interactive,950,145,,,
profile-00014,238,94,37,tenant-18,interactive,950,145,,,
profile-00015,238,156,452,tenant-01,interactive,950,145,,,
profile-00016,242,256,460,tenant-11,standard,2600,280,,,
profile-00017,256,360,45,tenant-15,interactive,950,145,profile-chat-31,,
profile-00018,257,48,71,tenant-12,interactive,950,145,,,
profile-00019,268,60,28,tenant-03,interactive,950,145,,,
profile-00020,298,151,71,tenant-04,interactive,950,145,,,
profile-00021,334,2584,291,tenant-20,standard,2600,280,profile-rag-17,,
profile-00022,346,37,79,tenant-10,interactive,950,145,,,
profile-00023,351,1563,69,tenant-01,standard,2600,280,profile-rag-18,,
profile-00024,359,785,469,tenant-02,interactive,950,145,,,
profile-00025,364,66,21,tenant-20,interactive,950,145,,,
profile-00026,365,113,619,tenant-03,standard,2600,280,,,
profile-00027,392,1097,317,tenant-18,interactive,950,145,,2499,
profile-00028,400,43,53,tenant-06,interactive,950,145,,,
profile-00029,419,79,49,tenant-03,interactive,950,145,,,
profile-00030,420,1250,55,tenant-05,standard,2600,280,profile-rag-20,,
profile-00031,422,504,314,tenant-03,interactive,950,145,,,
profile-00032,429,199,527,tenant-05,standard,2600,280,,,
profile-00033,434,73,30,tenant-11,interactive,950,145,,,
profile-00034,438,128,38,tenant-03,interactive,950,145,,,
profile-00035,452,795,45,tenant-15,interactive,950,145,profile-chat-14,,
profile-00036,467,164,72,tenant-09,interactive,950,145,,,
profile-00037,475,140,76,tenant-02,interactive,950,145,,,
profile-00038,499,1597,114,tenant-05,interactive,950,145,profile-chat-25,,
profile-00039,508,127,584,tenant-12,interactive,950,145,,,
profile-00040,534,512,122,tenant-19,standard,2600,280,profile-chat-39,,
profile-00041,538,102,24,tenant-17,interactive,950,145,,,
profile-00042,612,477,141,tenant-03,interactive,950,145,profile-chat-25,,
profile-00043,615,220,374,tenant-06,standard,2600,280,profile-code-00,,
profile-00044,622,187,280,tenant-17,interactive,950,145,,,
profile-00045,643,227,111,tenant-15,interactive,950,145,profile-chat-46,,
profile-00046,680,63,23,tenant-06,interactive,950,145,,,
profile-00047,705,64,60,tenant-10,interactive,950,145,,,
profile-00048,748,182,68,tenant-20,interactive,950,145,,,
profile-00049,863,55,81,tenant-20,interactive,950,145,,,
profile-00050,907,471,463,tenant-11,standard,2600,280,,,
profile-00051,957,188,66,tenant-08,interactive,950,145,,,
profile-00052,965,123,52,tenant-09,interactive,950,145,,,
profile-00053,1031,183,92,tenant-09,interactive,950,145,,,
profile-00054,1032,59,26,tenant-20,interactive,950,145,,,
profile-00055,1063,360,45,tenant-14,interactive,950,145,profile-chat-35,,
profile-00056,1104,50,30,tenant-12,interactive,950,145,profile-chat-15,,
profile-00057,1130,538,132,tenant-12,interactive,950,145,profile-chat-09,,
profile-00058,1184,90,78,tenant-02,interactive,950,145,profile-chat-41,,
profile-00059,1218,140,190,tenant-16,interactive,950,145,,,
profile-00060,1292,439,45,tenant-08,interactive,950,145,profile-chat-43,,
profile-00061,1300,132,90,tenant-19,interactive,950,145,,,
profile-00062,1337,119,62,tenant-18,interactive,950,145,,,
profile-00063,1357,48,37,tenant-10,interactive,950,145,,,
profile-00064,1399,368,58,tenant-06,standard,2600,280,profile-chat-46,,
profile-00065,1438,36,30,tenant-20,interactive,950,145,,,
profile-00066,1496,489,309,tenant-04,interactive,950,145,,,
profile-00067,1506,42,47,tenant-11,interactive,950,145,,,
profile-00068,1541,503,71,tenant-14,interactive,950,145,profile-chat-32,,
profile-00069,1650,87,24,tenant-03,interactive,950,145,,,
profile-00070,1665,83,51,tenant-16,interactive,950,145,,,
profile-00071,1678,115,102,tenant-15,interactive,950,145,,,
profile-00072,1704,361,90,tenant-01,interactive,950,145,profile-chat-05,,
profile-00073,1715,101,66,tenant-12,interactive,950,145,,,
profile-00074,1723,215,358,tenant-06,interactive,950,145,,,
profile-00075,1737,581,64,tenant-04,standard,2600,280,profile-chat-03,,
profile-00076,1756,50,88,tenant-10,interactive,950,145,profile-chat-35,,
profile-00077,1758,91,51,tenant-17,interactive,950,145,profile-chat-18,,
profile-00078,1866,182,91,tenant-20,interactive,950,145,,,
profile-00079,1870,141,63,tenant-11,interactive,950,145,profile-chat-39,,
profile-00080,1925,47,20,tenant-13,interactive,950,145,,,
profile-00081,1934,491,81,tenant-12,interactive,950,145,profile-chat-26,,
profile-00082,1979,208,419,tenant-13,interactive,950,145,,,
profile-00083,2055,556,56,tenant-15,interactive,950,145,profile-chat-07,,
profile-00084,2069,360,60,tenant-01,standard,2600,280,profile-chat-46,,
profile-00085,2109,65,34,tenant-06,interactive,950,145,,,
profile-00086,2180,360,70,tenant-05,interactive,950,145,profile-chat-27,,
profile-00087,2243,129,42,tenant-09,interactive,950,145,,,
profile-00088,2251,100,280,tenant-03,interactive,950,145,,,
profile-00089,2261,170,280,tenant-20,interactive,950,145,,,
profile-00090,2268,360,50,tenant-20,interactive,950,145,profile-chat-05,,
profile-00091,2272,134,30,tenant-16,interactive,950,145,,,
profile-00092,2295,69,36,tenant-03,interactive,950,145,,,
profile-00093,2315,71,82,tenant-19,interactive,950,145,,,
profile-00094,2419,235,140,tenant-02,standard,2600,280,,,
profile-00095,2419,96,67,tenant-10,interactive,950,145,,,
profile-00096,2507,366,743,tenant-10,standard,2600,280,,,
profile-00097,2509,768,76,tenant-17,interactive,950,145,profile-chat-34,,
profile-00098,2536,102,102,tenant-05,interactive,950,145,,,
profile-00099,2565,622,212,tenant-06,standard,2600,280,profile-chat-18,,
profile-00100,2654,156,433,tenant-08,interactive,950,145,,,
profile-00101,2676,80,77,tenant-12,interactive,950,145,profile-chat-02,,
profile-00102,2731,72,65,tenant-16,interactive,950,145,,,
profile-00103,2838,428,80,tenant-03,interactive,950,145,profile-chat-11,,
profile-00104,2910,181,46,tenant-20,interactive,950,145,,,
profile-00105,2917,136,24,tenant-02,interactive,950,145,,,
profile-00106,2929,144,85,tenant-11,interactive,950,145,,,
profile-00107,2979,360,45,tenant-16,standard,2600,280,profile-chat-12,,
profile-00108,2986,581,179,tenant-07,standard,2600,280,profile-chat-42,,
profile-00109,3051,715,171,tenant-13,standard,2600,280,profile-chat-01,,
profile-00110,3089,376,630,tenant-16,standard,2600,280,,,
profile-00111,3131,172,287,tenant-01,interactive,950,145,,,
profile-00112,3164,88,57,tenant-04,interactive,950,145,,,
profile-00113,3177,1174,135,tenant-07,interactive,950,145,profile-rag-07,,
profile-00114,3181,113,70,tenant-09,interactive,950,145,,,
profile-00115,3203,101,33,tenant-06,interactive,950,145,,,
profile-00116,3218,214,115,tenant-17,interactive,950,145,,8163,
profile-00117,3243,360,161,tenant-10,interactive,950,145,profile-chat-36,,
profile-00118,3248,360,112,tenant-07,interactive,950,145,profile-chat-42,,
profile-00119,3308,136,45,tenant-08,interactive,950,145,,,
profile-00120,3335,845,136,tenant-20,interactive,950,145,profile-chat-35,,
profile-00121,3375,71,59,tenant-01,interactive,950,145,,,
profile-00122,3377,178,34,tenant-05,interactive,950,145,,,
profile-00123,3388,100,400,tenant-11,interactive,950,145,,,
profile-00124,3417,365,158,tenant-14,interactive,950,145,,,
profile-00125,3427,2429,76,tenant-11,standard,2600,280,profile-rag-06,,
profile-00126,3462,406,145,tenant-15,interactive,950,145,profile-chat-32,,
profile-00127,3482,61,56,tenant-06,interactive,950,145,,,
profile-00128,3506,116,85,tenant-11,interactive,950,145,,,
profile-00129,3510,106,64,tenant-20,interactive,950,145,profile-chat-13,,
profile-00130,3531,1253,69,tenant-06,interactive,950,145,profile-chat-30,,
profile-00131,3534,792,49,tenant-06,interactive,950,145,profile-chat-42,,
profile-00132,3557,82,40,tenant-20,interactive,950,145,,,
profile-00133,3571,3237,58,tenant-05,interactive,950,145,profile-rag-32,,
profile-00134,3638,541,45,tenant-02,interactive,950,145,profile-chat-46,,
profile-00135,3661,77,84,tenant-11,interactive,950,145,,,
profile-00136,3679,101,27,tenant-12,interactive,950,145,profile-chat-02,,
profile-00137,3683,402,462,tenant-13,interactive,950,145,,9131,
profile-00138,3696,289,873,tenant-17,interactive,950,145,,,
profile-00139,3757,220,762,tenant-17,standard,2600,280,profile-code-01,,
profile-00140,3763,156,34,tenant-11,interactive,950,145,,,
profile-00141,3789,145,49,tenant-04,interactive,950,145,,,
profile-00142,3807,95,88,tenant-01,interactive,950,145,,,
profile-00143,3811,79,88,tenant-08,interactive,950,145,,,
profile-00144,3845,139,294,tenant-16,interactive,950,145,,,
profile-00145,3892,162,280,tenant-17,standard,2600,280,,,
profile-00146,3910,100,509,tenant-06,interactive,950,145,,,
profile-00147,3937,36,112,tenant-01,interactive,950,145,,,
profile-00148,3950,145,35,tenant-18,interactive,950,145,,,
profile-00149,4132,360,109,tenant-12,interactive,950,145,profile-chat-32,,
profile-00150,4188,47,66,tenant-05,interactive,950,145,profile-chat-24,,
profile-00151,4297,360,47,tenant-07,interactive,950,145,profile-chat-41,,
profile-00152,4376,168,371,tenant-07,interactive,950,145,,,
profile-00153,4416,150,62,tenant-06,interactive,950,145,,,
profile-00154,4433,178,953,tenant-15,interactive,950,145,,,
profile-00155,4517,1107,97,tenant-13,standard,2600,280,profile-rag-22,,
profile-00156,4526,84,79,tenant-01,interactive,950,145,,9053,
profile-00157,4551,125,769,tenant-14,interactive,950,145,,,
profile-00158,4592,142,938,tenant-15,interactive,950,145,,,
profile-00159,4627,122,48,tenant-12,interactive,950,145,,,
profile-00160,4627,901,338,tenant-02,interactive,950,145,,8028,
profile-00161,4629,190,497,tenant-09,interactive,950,145,,,
profile-00162,4631,360,45,tenant-03,standard,2600,280,profile-chat-15,,
profile-00163,4685,280,494,tenant-02,interactive,950,145,profile-code-01,,
profile-00164,4692,1561,140,tenant-14,interactive,950,145,profile-rag-15,,
profile-00165,4705,264,335,tenant-14,interactive,950,145,,,
profile-00166,4742,121,46,tenant-19,interactive,950,145,,,
profile-00167,4744,353,655,tenant-08,standard,2600,280,,,
profile-00168,4762,90,56,tenant-14,interactive,950,145,,,
profile-00169,4768,35,87,tenant-19,interactive,950,145,,,
profile-00170,4776,77,40,tenant-17,interactive,950,145,,,
profile-00171,4782,97,30,tenant-07,interactive,950,145,,,
profile-00172,4798,2001,124,tenant-02,standard,2600,280,profile-rag-25,,
profile-00173,4857,360,53,tenant-19,standard,2600,280,profile-chat-19,,
profile-00174,4871,1206,87,tenant-16,standard,2600,280,profile-rag-27,,
profile-00175,4882,658,744,tenant-04,interactive,950,145,,,
profile-00176,4979,89,71,tenant-20,interactive,950,145,profile-chat-00,9684,
profile-00177,4993,752,171,tenant-04,interactive,950,145,profile-chat-45,,
profile-00178,5049,402,63,tenant-04,interactive,950,145,profile-chat-38,,
profile-00179,5065,118,337,tenant-15,interactive,950,145,,,
profile-00180,5098,99,156,tenant-19,interactive,950,145,,,
profile-00181,5106,536,85,tenant-08,standard,2600,280,profile-chat-06,,
profile-00182,5130,101,51,tenant-02,interactive,950,145,profile-chat-22,,
profile-00183,5136,169,47,tenant-17,interactive,950,145,,10726,
profile-00184,5172,408,67,tenant-12,interactive,950,145,profile-chat-30,,
profile-00185,5271,145,90,tenant-12,interactive,950,145,,,
profile-00186,5296,134,34,tenant-08,interactive,950,145,,,
profile-00187,5317,360,138,tenant-10,interactive,950,145,profile-chat-23,,
profile-00188,5320,254,338,tenant-14,interactive,950,145,,,
profile-00189,5322,938,95,tenant-02,standard,2600,280,profile-chat-07,,
profile-00190,5360,220,807,tenant-10,interactive,950,145,,,
profile-00191,5379,296,20,tenant-09,interactive,950,145,,,
profile-00192,5517,360,168,tenant-18,interactive,950,145,profile-chat-43,,
profile-00193,5571,129,55,tenant-01,interactive,950,145,profile-chat-05,,
profile-00194,5589,820,215,tenant-16,interactive,950,145,,,
profile-00195,5643,79,84,tenant-06,interactive,950,145,,,
profile-00196,5650,50,78,tenant-07,interactive,950,145,,,
profile-00197,5668,204,707,tenant-03,interactive,950,145,,,
profile-00198,5687,485,61,tenant-12,interactive,950,145,profile-chat-40,,
profile-00199,5695,384,230,tenant-18,interactive,950,145,,,
profile-00200,5742,61,33,tenant-08,interactive,950,145,,,
profile-00201,5758,93,126,tenant-16,interactive,950,145,,,
profile-00202,5883,73,27,tenant-19,interactive,950,145,,,
profile-00203,5913,360,49,tenant-17,standard,2600,280,profile-chat-28,,
profile-00204,6021,131,112,tenant-19,interactive,950,145,,,
profile-00205,6143,85,92,tenant-15,interactive,950,145,,,
profile-00206,6143,63,53,tenant-18,interactive,950,145,,,
