request_id,arrival_time_ms,prompt_tokens,output_tokens,tenant_id,priority_class,ttft_slo_ms,itl_slo_ms,prefix_id,abandoned_at_ms,request_type
profile-00000,7,3149,159,tenant-19,interactive,950,145,profile-rag-10,,
profile-00001,7,1798,55,tenant-20,interactive,950,145,profile-rag-01,,
profile-00002,21,1767,120,tenant-18,standard,2600,280,profile-rag-02,,
profile-00003,39,1146,126,tenant-02,interactive,950,145,profile-rag-09,,
profile-00004,45,1536,93,tenant-15,interactive,950,145,profile-rag-05,,
profile-00005,91,2864,267,tenant-03,interactive,950,145,profile-rag-34,,
profile-00006,111,360,139,tenant-04,interactive,950,145,profile-chat-43,,
profile-00007,163,1563,255,tenant-18,interactive,950,145,profile-rag-27,,
profile-00008,167,360,167,tenant-15,standard,2600,280,profile-chat-17,,
profile-00009,188,1429,91,tenant-20,standard,2600,280,profile-rag-10,,
profile-00010,191,1378,164,tenant-16,standard,2600,280,profile-rag-14,,
profile-00011,199,6219,123,tenant-03,standard,2600,280,profile-rag-17,,
profile-00012,200,4500,118,tenant-04,standard,2600,280,profile-rag-22,,
profile-00013,232,1100,120,tenant-08,standard,2600,280,profile-rag-26,,
profile-00014,243,81,46,tenant-18,interactive,950,145,,,
profile-00015,243,430,198,tenant-20,interactive,950,145,profile-chat-12,3000,
profile-00016,254,1676,226,tenant-08,standard,2600,280,profile-rag-33,,
profile-00017,262,1447,98,tenant-03,standard,2600,280,profile-rag-33,,
profile-00018,285,360,45,tenant-11,interactive,950,145,profile-chat-28,,
profile-00019,302,498,45,tenant-09,interactive,950,145,profile-chat-23,,
profile-00020,305,1100,55,tenant-06,standard,2600,280,profile-rag-00,,
profile-00021,327,234,38,tenant-09,interactive,950,145,,,
profile-00022,341,1583,150,tenant-10,interactive,950,145,profile-rag-15,,
profile-00023,346,1617,113,tenant-15,standard,2600,280,profile-rag-16,,
profile-00024,355,1100,55,tenant-18,standard,2600,280,profile-rag-12,,
profile-00025,407,156,47,tenant-03,interactive,950,145,,,
profile-00026,434,6789,130,tenant-09,batch,8000,900,,,
profile-00027,470,1696,55,tenant-17,standard,2600,280,profile-rag-05,,
profile-00028,489,3198,89,tenant-01,interactive,950,145,profile-rag-18,,
profile-00029,517,3133,59,tenant-16,interactive,950,145,profile-rag-17,,
profile-00030,519,3524,58,tenant-06,standard,2600,280,profile-rag-07,,
profile-00031,539,1487,55,tenant-16,standard,2600,280,profile-rag-13,,
profile-00032,577,625,45,tenant-05,interactive,950,145,profile-chat-39,,
profile-00033,624,360,46,tenant-11,interactive,950,145,profile-chat-20,,
profile-00034,628,1523,135,tenant-15,interactive,950,145,profile-rag-33,,
profile-00035,632,1100,99,tenant-07,standard,2600,280,profile-rag-27,,
profile-00036,640,173,36,tenant-10,interactive,950,145,,,
profile-00037,644,1113,160,tenant-18,interactive,950,145,profile-rag-10,,
profile-00038,658,455,108,tenant-03,interactive,950,145,profile-chat-17,,
profile-00039,662,3661,141,tenant-15,interactive,950,145,profile-rag-03,,
profile-00040,713,43,51,tenant-18,interactive,950,145,profile-chat-29,,
