request_id,arrival_time_ms,prompt_tokens,output_tokens,tenant_id,priority_class,ttft_slo_ms,itl_slo_ms,prefix_id,abandoned_at_ms,request_type
profile-00000,7,3375,152,tenant-19,batch,8000,900,profile-rag-24,,
profile-00001,7,2169,212,tenant-04,batch,8000,900,,,
profile-00002,32,3975,300,tenant-05,batch,8000,900,,,
profile-00003,45,1700,185,tenant-06,batch,8000,900,profile-rag-09,,
profile-00004,54,1588,123,tenant-13,standard,2600,280,profile-rag-03,,
profile-00005,58,2080,189,tenant-15,batch,8000,900,profile-rag-25,,
profile-00006,64,5003,257,tenant-03,batch,8000,900,profile-rag-02,,
profile-00007,79,4643,114,tenant-14,batch,8000,900,,,
profile-00008,104,4581,98,tenant-11,batch,8000,900,,,
profile-00009,130,9183,113,tenant-08,interactive,950,145,profile-rag-18,,
profile-00010,131,1705,80,tenant-04,batch,8000,900,,,
profile-00011,159,1700,121,tenant-09,batch,8000,900,,,
profile-00012,187,2787,80,tenant-03,batch,8000,900,,,
profile-00013,187,1316,71,tenant-04,standard,2600,280,profile-rag-22,,
profile-00014,220,1700,176,tenant-17,batch,8000,900,,,
profile-00015,230,2106,133,tenant-13,batch,8000,900,profile-rag-30,,
profile-00016,231,169,38,tenant-20,interactive,950,145,profile-chat-01,,
profile-00017,242,2774,209,tenant-01,batch,8000,900,,,
profile-00018,255,4500,165,tenant-19,standard,2600,280,profile-rag-15,,
profile-00019,268,2549,116,tenant-04,batch,8000,900,profile-rag-17,,
profile-00020,273,134,37,tenant-06,interactive,950,145,,,
profile-00021,275,1906,80,tenant-07,batch,8000,900,profile-rag-29,,
profile-00022,276,3764,213,tenant-09,batch,8000,900,,,
profile-00023,282,2559,275,tenant-09,batch,8000,900,,,
profile-00024,300,4975,110,tenant-11,interactive,950,145,profile-rag-17,,
profile-00025,305,2152,105,tenant-18,batch,8000,900,,,
profile-00026,318,2206,188,tenant-08,standard,2600,280,profile-rag-23,,
profile-00027,319,1700,199,tenant-18,batch,8000,900,profile-rag-23,,
profile-00028,371,156,47,tenant-03,interactive,950,145,,,
profile-00029,398,1097,317,tenant-18,interactive,950,145,,2505,
profile-00030,406,5655,145,tenant-10,batch,8000,900,profile-rag-05,,
profile-00031,410,676,483,tenant-03,interactive,950,145,,2480,
profile-00032,436,1700,80,tenant-04,batch,8000,900,,,
profile-00033,460,1378,72,tenant-06,standard,2600,280,profile-rag-05,,
profile-00034,482,1700,106,tenant-14,batch,8000,900,profile-rag-34,,
profile-00035,493,5278,126,tenant-05,batch,8000,900,,,
profile-00036,540,147,42,tenant-08,interactive,950,145,,,
profile-00037,603,2088,198,tenant-03,batch,8000,900,profile-rag-33,,
profile-00038,618,7311,110,tenant-15,standard,2600,280,profile-rag-14,,
profile-00039,632,1700,94,tenant-15,batch,8000,900,,,
profile-00040,638,1793,306,tenant-06,batch,8000,900,profile-rag-19,,
profile-00041,638,2458,133,tenant-16,batch,8000,900,,,
profile-00042,663,2464,193,tenant-16,batch,8000,900,profile-rag-34,,
profile-00043,675,5951,157,tenant-12,batch,8000,900,profile-rag-19,,
profile-00044,757,220,364,tenant-05,interactive,950,145,,,
profile-00045,757,1599,55,tenant-20,interactive,950,145,profile-rag-32,,
profile-00046,766,157,94,tenant-09,interactive,950,145,profile-chat-21,,
profile-00047,867,1700,132,tenant-15,batch,8000,900,,,
profile-00048,1065,2775,80,tenant-19,batch,8000,900,profile-rag-32,,
profile-00049,1103,1700,142,tenant-03,batch,8000,900,,,
profile-00050,1142,2563,80,tenant-08,batch,8000,900,profile-rag-13,,
profile-00051,1210,1785,208,tenant-20,batch,8000,900,,,
profile-00052,1326,1700,165,tenant-01,batch,8000,900,profile-rag-33,,
profile-00053,1499,3676,312,tenant-11,batch,8000,900,,,
profile-00054,1502,3534,151,tenant-09,batch,8000,900,,,
profile-00055,1568,5645,151,tenant-20,batch,8000,900,,,
profile-00056,1571,2404,123,tenant-15,batch,8000,900,,,
profile-00057,1609,1700,80,tenant-07,batch,8000,900,profile-rag-35,,
profile-00058,1715,2627,152,tenant-09,batch,8000,900,,,
profile-00059,1724,299,263,tenant-19,standard,2600,280,,,
profile-00060,1832,2385,225,tenant-03,batch,8000,900,,,
profile-00061,1832,1700,155,tenant-09,batch,8000,900,profile-rag-26,,
