request_id,arrival_time_ms,prompt_tokens,output_tokens,tenant_id,priority_class,ttft_slo_ms,itl_slo_ms,prefix_id,abandoned_at_ms,request_type
profile-00000,7,477,380,tenant-08,standard,2600,280,profile-code-12,,
profile-00001,24,3274,55,tenant-19,standard,2600,280,profile-rag-28,,
profile-00002,25,1135,89,tenant-05,interactive,950,145,profile-rag-13,,
profile-00003,44,111,595,tenant-02,interactive,950,145,,,
profile-00004,49,272,343,tenant-15,interactive,950,145,,,
profile-00005,96,220,789,tenant-04,standard,2600,280,,,
profile-00006,165,161,60,tenant-04,interactive,950,145,,,
profile-00007,217,792,292,tenant-07,standard,2600,280,,,
profile-00008,259,1129,641,tenant-03,interactive,950,145,,,
profile-00009,263,349,449,tenant-04,interactive,950,145,profile-code-05,,
profile-00010,290,220,290,tenant-06,interactive,950,145,,,
profile-00011,305,258,529,tenant-03,standard,2600,280,,,
profile-00012,305,118,13,tenant-09,interactive,950,145,,,
profile-00013,336,1078,792,tenant-08,standard,2600,280,,,
profile-00014,338,650,600,tenant-13,standard,2600,280,,,
profile-00015,338,1530,96,tenant-01,standard,2600,280,profile-rag-34,,
profile-00016,343,2085,55,tenant-17,interactive,950,145,profile-rag-01,,
profile-00017,361,860,600,tenant-15,standard,2600,280,,,
profile-00018,362,566,246,tenant-06,standard,2600,280,profile-code-02,,
profile-00019,363,582,591,tenant-01,standard,2600,280,,,
profile-00020,367,100,667,tenant-16,interactive,950,145,,,
profile-00021,390,81,73,tenant-06,interactive,950,145,,,
profile-00022,427,642,140,tenant-10,interactive,950,145,,,
profile-00023,433,292,426,tenant-15,standard,2600,280,,,
profile-00024,441,220,140,tenant-18,standard,2600,280,,,
profile-00025,494,2300,245,tenant-01,standard,2600,280,profile-rag-03,,
profile-00026,495,45,95,tenant-19,interactive,950,145,,,
profile-00027,535,207,571,tenant-09,interactive,950,145,,,
profile-00028,561,650,1331,tenant-05,interactive,950,145,,,
profile-00029,628,220,412,tenant-03,standard,2600,280,,,
profile-00030,630,504,314,tenant-03,interactive,950,145,,,
profile-00031,637,1521,74,tenant-04,standard,2600,280,profile-rag-31,,
profile-00032,637,346,256,tenant-03,interactive,950,145,,,
profile-00033,639,462,1376,tenant-17,interactive,950,145,profile-code-07,,
profile-00034,649,109,65,tenant-07,interactive,950,145,profile-chat-28,,
profile-00035,658,1340,89,tenant-10,interactive,950,145,profile-rag-25,,
profile-00036,661,416,704,tenant-16,standard,2600,280,,,
profile-00037,662,650,727,tenant-16,standard,2600,280,,,
profile-00038,673,937,396,tenant-11,interactive,950,145,profile-code-09,,
profile-00039,701,383,148,tenant-17,standard,2600,280,,,
profile-00040,776,762,1667,tenant-06,interactive,950,145,profile-code-17,,
profile-00041,778,157,94,tenant-09,interactive,950,145,profile-chat-21,,
profile-00042,820,220,321,tenant-14,interactive,950,145,,2524,
profile-00043,830,685,600,tenant-15,standard,2600,280,,,
profile-00044,846,220,350,tenant-09,interactive,950,145,profile-code-19,,
profile-00045,852,650,880,tenant-06,standard,2600,280,,,
profile-00046,905,132,674,tenant-14,standard,2600,280,,,
profile-00047,907,666,408,tenant-01,interactive,950,145,profile-code-21,,
profile-00048,937,344,353,tenant-11,standard,2600,280,,,
profile-00049,940,503,377,tenant-09,standard,2600,280,,,
profile-00050,1006,880,377,tenant-16,standard,2600,280,,,
profile-00051,1034,56,25,tenant-14,interactive,950,145,profile-chat-28,,
profile-00052,1062,814,600,tenant-07,standard,2600,280,,,
profile-00053,1084,94,44,tenant-18,interactive,950,145,,,
profile-00054,1090,504,392,tenant-01,interactive,950,145,,,
profile-00055,1136,2792,86,tenant-06,interactive,950,145,profile-rag-23,,
profile-00056,1198,3491,68,tenant-01,standard,2600,280,profile-rag-25,,
profile-00057,1207,220,320,tenant-15,standard,2600,280,,,
profile-00058,1321,849,910,tenant-18,interactive,950,145,profile-code-04,,
profile-00059,1341,334,364,tenant-10,standard,2600,280,profile-code-21,,
profile-00060,1401,730,819,tenant-05,interactive,950,145,,,
profile-00061,1410,562,294,tenant-19,interactive,950,145,,,
profile-00062,1464,220,1103,tenant-08,interactive,950,145,profile-code-23,,
profile-00063,1543,1260,600,tenant-06,standard,2600,280,,,
profile-00064,1688,650,1300,tenant-04,standard,2600,280,,,
profile-00065,1776,353,202,tenant-02,standard,2600,280,,,
profile-00066,1810,279,362,tenant-16,standard,2600,280,profile-code-04,,
profile-00067,1823,220,790,tenant-16,standard,2600,280,,,
profile-00068,1854,220,140,tenant-17,interactive,950,145,,,
profile-00069,1883,987,310,tenant-06,standard,2600,280,,,
profile-00070,1899,220,571,tenant-12,standard,2600,280,,,
profile-00071,1936,220,417,tenant-14,interactive,950,145,profile-code-06,,
profile-00072,1955,272,371,tenant-06,interactive,950,145,profile-code-17,,
profile-00073,2017,650,600,tenant-18,standard,2600,280,,,
profile-00074,2053,650,642,tenant-20,standard,2600,280,,,
profile-00075,2056,650,902,tenant-13,standard,2600,280,,,
profile-00076,2058,1100,94,tenant-18,standard,2600,280,profile-rag-34,,
profile-00077,2061,547,2147,tenant-18,interactive,950,145,,,
profile-00078,2164,292,199,tenant-19,standard,2600,280,,,
profile-00079,2192,1473,674,tenant-20,interactive,950,145,profile-code-03,,
profile-00080,2238,1408,295,tenant-14,interactive,950,145,,,
profile-00081,2272,841,681,tenant-05,interactive,950,145,profile-code-04,,
profile-00082,2276,536,288,tenant-09,standard,2600,280,,,
profile-00083,2284,1100,126,tenant-16,interactive,950,145,profile-rag-01,,
profile-00084,2376,435,140,tenant-14,interactive,950,145,,,
profile-00085,2406,100,340,tenant-03,interactive,950,145,,,
profile-00086,2417,650,603,tenant-04,interactive,950,145,profile-code-04,,
profile-00087,2454,50,40,tenant-16,interactive,950,145,,,
profile-00088,2478,1261,429,tenant-14,standard,2600,280,profile-code-16,,
profile-00089,2535,675,424,tenant-06,standard,2600,280,profile-code-14,,
profile-00090,2538,97,76,tenant-14,interactive,950,145,profile-chat-16,,
profile-00091,2638,650,625,tenant-11,standard,2600,280,profile-code-23,,
profile-00092,2667,102,30,tenant-18,interactive,950,145,,,
profile-00093,2773,235,149,tenant-04,interactive,950,145,,,
profile-00094,2782,188,533,tenant-17,interactive,950,145,,,
profile-00095,2833,2399,259,tenant-06,standard,2600,280,profile-rag-03,,
profile-00096,2922,81,48,tenant-08,interactive,950,145,,,
profile-00097,2944,566,270,tenant-12,standard,2600,280,profile-code-09,,
profile-00098,2961,361,345,tenant-03,interactive,950,145,,,
profile-00099,2975,883,321,tenant-20,standard,2600,280,,,
profile-00100,2983,424,140,tenant-10,standard,2600,280,,,
profile-00101,2983,155,169,tenant-18,interactive,950,145,,,
profile-00102,3022,220,165,tenant-16,standard,2600,280,profile-code-19,,
profile-00103,3030,813,1697,tenant-07,standard,2600,280,,,
profile-00104,3094,650,600,tenant-03,standard,2600,280,profile-code-16,,
profile-00105,3128,204,21,tenant-07,interactive,950,145,profile-chat-00,,
profile-00106,3137,817,242,tenant-07,interactive,950,145,profile-code-23,,
profile-00107,3144,402,346,tenant-12,interactive,950,145,profile-code-03,,
profile-00108,3155,220,140,tenant-20,interactive,950,145,,,
profile-00109,3176,650,787,tenant-20,standard,2600,280,profile-code-14,,
profile-00110,3196,1643,258,tenant-14,standard,2600,280,profile-rag-10,,
profile-00111,3222,417,382,tenant-06,interactive,950,145,profile-code-13,,
profile-00112,3268,55,91,tenant-05,interactive,950,145,,6458,
profile-00113,3290,220,140,tenant-08,interactive,950,145,,,
profile-00114,3316,105,66,tenant-20,interactive,950,145,,,
profile-00115,3357,225,436,tenant-01,interactive,950,145,profile-code-17,,
profile-00116,3358,650,600,tenant-09,standard,2600,280,,,
profile-00117,3423,323,234,tenant-04,standard,2600,280,,,
profile-00118,3468,125,42,tenant-09,interactive,950,145,,,
profile-00119,3478,495,368,tenant-19,standard,2600,280,,,
profile-00120,3501,305,421,tenant-06,standard,2600,280,,,
profile-00121,3556,293,224,tenant-04,interactive,950,145,profile-code-22,,
