request_id,arrival_time_ms,prompt_tokens,output_tokens,tenant_id,priority_class,ttft_slo_ms,itl_slo_ms,prefix_id,abandoned_at_ms,request_type
profile-00000,7,119,53,tenant-08,interactive,950,145,,,
profile-00001,24,848,45,tenant-19,interactive,950,145,profile-chat-28,,
profile-00002,25,360,99,tenant-05,interactive,950,145,profile-chat-47,,
profile-00003,44,4500,115,tenant-04,interactive,950,145,profile-rag-03,,
profile-00004,61,2726,191,tenant-01,standard,2600,280,profile-rag-31,,
profile-00005,95,7083,261,tenant-04,batch,8000,900,profile-rag-08,,
profile-00006,164,2065,80,tenant-20,batch,8000,900,,,
profile-00007,194,4500,136,tenant-09,standard,2600,280,profile-rag-15,,
profile-00008,206,4500,377,tenant-01,standard,2600,280,profile-rag-15,,
profile-00009,210,417,344,tenant-15,interactive,950,145,profile-code-07,,
profile-00010,225,2524,145,tenant-06,batch,8000,900,,,
profile-00011,234,5583,110,tenant-10,batch,8000,900,profile-rag-04,,
profile-00012,236,388,129,tenant-16,interactive,950,145,profile-chat-39,,
profile-00013,255,99,36,tenant-16,interactive,950,145,,,
profile-00014,265,753,727,tenant-12,interactive,950,145,,,
profile-00015,279,1924,129,tenant-09,interactive,950,145,profile-rag-01,,
profile-00016,294,220,168,tenant-03,interactive,950,145,,,
profile-00017,308,2168,110,tenant-03,batch,8000,900,profile-rag-11,,
profile-00018,320,836,45,tenant-12,interactive,950,145,profile-chat-20,,
profile-00019,323,2797,164,tenant-14,standard,2600,280,profile-rag-16,,
profile-00020,381,360,112,tenant-16,interactive,950,145,profile-chat-44,,
profile-00021,405,4001,214,tenant-06,batch,8000,900,profile-rag-16,,
profile-00022,442,2864,55,tenant-10,interactive,950,145,profile-rag-01,,
profile-00023,447,78,58,tenant-12,interactive,950,145,profile-chat-41,,
profile-00024,489,1755,105,tenant-17,standard,2600,280,profile-rag-28,,
profile-00025,503,5587,404,tenant-01,batch,8000,900,profile-rag-03,,
profile-00026,504,1700,273,tenant-12,batch,8000,900,profile-rag-27,,
profile-00027,514,3607,97,tenant-09,interactive,950,145,profile-rag-05,,
profile-00028,540,257,691,tenant-05,interactive,950,145,,,
profile-00029,607,99,103,tenant-03,interactive,950,145,,,
profile-00030,610,2402,86,tenant-03,interactive,950,145,profile-rag-15,,
profile-00031,617,394,61,tenant-04,standard,2600,280,profile-chat-31,,
profile-00032,617,91,27,tenant-03,interactive,950,145,,,
profile-00033,624,81,34,tenant-20,interactive,950,145,,,
profile-00034,636,8038,167,tenant-08,batch,8000,900,,,
profile-00035,658,220,220,tenant-13,standard,2600,280,profile-code-20,,
profile-00036,662,1453,64,tenant-06,interactive,950,145,profile-rag-29,,
profile-00037,692,2047,1755,tenant-14,interactive,950,145,profile-code-10,,
profile-00038,697,102,46,tenant-01,interactive,950,145,,,
profile-00039,699,188,55,tenant-11,interactive,950,145,,,
profile-00040,727,1970,55,tenant-17,standard,2600,280,profile-rag-14,,
profile-00041,801,380,405,tenant-06,standard,2600,280,,,
profile-00042,803,2403,146,tenant-11,batch,8000,900,,,
profile-00043,804,4500,110,tenant-01,standard,2600,280,profile-rag-16,,
profile-00044,805,1948,55,tenant-15,standard,2600,280,profile-rag-32,,
profile-00045,842,63,23,tenant-06,interactive,950,145,,,
profile-00046,867,64,60,tenant-10,interactive,950,145,,,
profile-00047,911,182,68,tenant-20,interactive,950,145,,,
profile-00048,1026,1765,223,tenant-20,standard,2600,280,profile-rag-06,,
profile-00049,1069,3157,134,tenant-17,batch,8000,900,,,
profile-00050,1084,522,140,tenant-19,standard,2600,280,,,
profile-00051,1145,2609,210,tenant-10,standard,2600,280,profile-rag-17,,
profile-00052,1167,220,161,tenant-14,interactive,950,145,,,
profile-00053,1196,458,249,tenant-07,standard,2600,280,,,
profile-00054,1217,2914,112,tenant-08,batch,8000,900,profile-rag-16,,
profile-00055,1238,1987,65,tenant-07,standard,2600,280,profile-rag-12,,
profile-00056,1271,1100,82,tenant-19,standard,2600,280,profile-rag-25,,
profile-00057,1356,93,35,tenant-16,interactive,950,145,,,
profile-00058,1430,311,140,tenant-08,interactive,950,145,,,
profile-00059,1439,1917,219,tenant-17,standard,2600,280,profile-rag-06,,
profile-00060,1472,2321,121,tenant-18,interactive,950,145,profile-rag-09,,
profile-00061,1492,48,37,tenant-10,interactive,950,145,,,
profile-00062,1534,3271,176,tenant-10,batch,8000,900,,,
profile-00063,1597,401,72,tenant-01,interactive,950,145,profile-chat-07,,
profile-00064,1598,2430,55,tenant-15,standard,2600,280,profile-rag-20,,
profile-00065,1630,4500,293,tenant-17,standard,2600,280,profile-rag-29,,
